artist,url,artist_country,location,date_string,insta,spotify,rf_short_description,m_rating,l_rating,comment,emoji_beskrivelse,start_time,new_date_string,start_datetime
Stundom,https://www.roskilde-festival.dk/da/years/2023/acts/stundom/,,🌍 Gaia,14:00 Søndag 25. juni 2023,https://www.instagram.com/stundommusic,https://open.spotify.com/artist/4Cp4SR2SzIHbNvC25Zxk2b?si=3Kfv97UXQV-zb4TdC09_OA,En lyrisk og kammermusikalsk dans med den nordiske folkemusik , , , , ,14:00,25jun 2023,2023-06-25 14:00:00+02:00
Sudan Archives,https://www.roskilde-festival.dk/da/years/2023/acts/sudan-archives/,US,🏝️ Avalon,17:30 Torsdag 29. juni 2023,https://www.instagram.com/sudanarchives/,https://open.spotify.com/artist/2MPHBxznH1fj59jbOWY38u?si=iQMGOX2VTFWEubsuIqH9uw,Visionær kunstner leverer afrofuturistisk soulmusik og personlige sange,😌Tømmermændsmusik,😌Tømmermændsmusik, , ,17:30,29jun 2023,2023-06-29 17:30:00+02:00
Sugar,https://www.roskilde-festival.dk/da/years/2023/acts/sugar/,DK,🚀 Apollo,01:00 Torsdag 29. juni 2023,https://www.instagram.com/sugar_electronics/,,Medrivende techno med åndelige rødder i punkens og metallens intensitet,🤡Wildcard,🤡Wildcard,Hvis jeg er fuld og i festhumør, ,01:00,29jun 2023,2023-06-30 01:00:00+02:00
Sulka,https://www.roskilde-festival.dk/da/years/2023/acts/sulka/,,👩 Eos,19:15 Tirsdag 27. juni 2023,https://www.instagram.com/_sulka/,https://open.spotify.com/artist/467BSFPrqZP3HT6dXzsBqv?si=ozFBw44tQvKljlIQX4RJ7g,Original hip-hop med poetiske ambitioner og sylespidse linjer , , , , ,19:15,27jun 2023,2023-06-27 19:15:00+02:00
Sóley Ragnarsdóttir,https://www.roskilde-festival.dk/da/years/2023/acts/s%C3%B3ley-ragnarsd%C3%B3ttir/,DK/IS,🏟️ Festival Site,Onsdag 28. juni 2023,https://www.instagram.com/soleygendary/,,10 meter langt servietmønster udfordrer værdien af kvinders arbejde, , , , ,13:37,28jun 2023,2023-06-28 13:37:00+02:00
Tacobitch,https://www.roskilde-festival.dk/da/years/2023/acts/tacobitch/,NO,🌍 Gaia,23:00 Tirsdag 27. juni 2023,https://www.instagram.com/tacobitchcollective/?hl=da,https://open.spotify.com/artist/4f01Fmn2QMGILvDutjQqoV?si=JWc0jB4FRr6P2eblczWKSw,"Norsk kollektiv byder på excentrisk blanding af punk, støj og techno i et vildt live-show ", , , , ,23:00,27jun 2023,2023-06-27 23:00:00+02:00
Tarick,https://www.roskilde-festival.dk/da/years/2023/acts/tarick/,,👩 Eos,20:45 Mandag 26. juni 2023,https://www.instagram.com/tarickcph_official/,https://open.spotify.com/artist/5okfcG5ILSySJxqMiaRwmH?si=4sO3ieYMQrK7omwT-fILPQ,"Melodisk og medrivende blanding af afrobeat, rap og kontemporær R&B ", , , , ,20:45,26jun 2023,2023-06-26 20:45:00+02:00
Tarrak,https://www.roskilde-festival.dk/da/years/2023/acts/tarrak/,GL,🌍 Gaia,21:30 Mandag 26. juni 2023,https://www.instagram.com/joseftarrak/,https://open.spotify.com/artist/3FTKo3aheAF0aAxbJWyiP8?si=ohT_YGulQSS2Z0HH0G8o1Q,En af Grønlands vigtigste rappere kæmper mod kolonialistisk tænkning med personlige tekster , , , , ,21:30,26jun 2023,2023-06-26 21:30:00+02:00
Temp-Illusion,https://www.roskilde-festival.dk/da/years/2023/acts/temp-illusion/,IR,🏝️ Gloria,22:15 Lørdag 1. juli 2023,https://www.instagram.com/temp_illusion/,https://open.spotify.com/artist/3N5AoyMmO9exmmlvdhWAWr?si=VS9Rt1XHRP6kF7Vwqj0QLA,Radikal elektronisk musik fra Iran med dystert fokus på mediernes virkelighedsforvrængning , , , , ,22:15,1jul 2023,2023-07-01 22:15:00+02:00
Tender Youth,https://www.roskilde-festival.dk/da/years/2023/acts/tender-youth/,,🌍 Gaia,17:00 Tirsdag 27. juni 2023,https://www.instagram.com/tender.youth/,https://open.spotify.com/artist/6WVXw9VBHTxHbtKoiMhKo2?si=m-_6bWFKTjmAm4kmU9mt5w,Stilsikker blanding af postpunk og støjrock tilsat ungdommelig nerve , , , , ,17:00,27jun 2023,2023-06-27 17:00:00+02:00
The Po' Ramblin' Boys,https://www.roskilde-festival.dk/da/years/2023/acts/the-po-ramblin-boys/,US,🌍 Gaia,12:00 Fredag 30. juni 2023,https://www.instagram.com/poramblinboys/,https://open.spotify.com/artist/65XZgRZMfuSawjuSFrnz0o?si=5HaU1B7PRpeTGYIJhg7m-w,Autentisk og håndspillet bluegrass direkte fra Tennessee,🤯JA!, ,YEEEEEEHAAAAAAWWWW, ,12:00,30jun 2023,2023-06-30 12:00:00+02:00
Tinariwen,https://www.roskilde-festival.dk/da/years/2023/acts/tinariwen/,ML,🟠 Orange,17:00 Lørdag 1. juli 2023,https://www.instagram.com/tinariwen/,https://open.spotify.com/artist/2sf2owtFSCvz2MLfxmNdkb?si=kRwkmudqT0eiJqAjRM84DQ,Kongerne af ørkenblues vender endelig tilbage til Roskilde Festival,😌Tømmermændsmusik, ,kogeren afrikansk pop, ,17:00,1jul 2023,2023-07-01 17:00:00+02:00
Tobias Rahim,https://www.roskilde-festival.dk/da/years/2023/acts/tobias-rahim/,DK,🟠 Orange,19:30 Lørdag 1. juli 2023,https://www.instagram.com/tobiasrahim/,https://open.spotify.com/artist/1w2fVGZN37TieWhlqS8UwB?si=rDWdvIP8S5uviznRUCp3eA,Den kapitalismekritiske hitsmed er klar til at erobre Orange Scene.,🤯JA!,🤯JA!, , ,19:30,1jul 2023,2023-07-01 19:30:00+02:00
Tootard,https://www.roskilde-festival.dk/da/years/2023/acts/tootard/,INT,🌍 Gaia,21:00 Lørdag 1. juli 2023,https://www.instagram.com/tootard/,https://open.spotify.com/artist/7nSWA1659h0Vb1EyjJdSFV?si=PECZYCplS1uCw5PKf-nr_A,Grænseløs pan-arabisk dansefest fra Golanhøjderne,🤯JA!, ,hypnotic arabic disco, ,21:00,1jul 2023,2023-07-01 21:00:00+02:00
Tore Hallas,https://www.roskilde-festival.dk/da/years/2023/acts/tore-hallas/,DK,🏟️ Festival Site,Onsdag 28. juni 2023,https://www.instagram.com/torehallas/,,"Tykhed og querness er i fokus, når kunstner stiller skarpt på kroppen  ", , , , ,13:37,28jun 2023,2023-06-28 13:37:00+02:00
Tove Lo,https://www.roskilde-festival.dk/da/years/2023/acts/tove-lo/,SE,🟠 Orange,19:30 Torsdag 29. juni 2023,https://www.instagram.com/tovelo/,https://open.spotify.com/artist/4NHQUGzhtTLFvgF5SZesLK?si=nubtht6NTmOmCb_PoSzMdQ,"Tove Lo leverer popfest med styrke, sårbarhed og lyst",🤯JA!,🤯JA!,det' jo bare go' pop., ,19:30,29jun 2023,2023-06-29 19:30:00+02:00
Trine Struwe,https://www.roskilde-festival.dk/da/years/2023/acts/trine-struwe/,DK,🏟️ Festival Site,Onsdag 28. juni 2023,https://www.instagram.com/trinestruwe/,,Nyt kunstværk hjælper festivalgæsterne med at finde hinanden  , , , , ,13:37,28jun 2023,2023-06-28 13:37:00+02:00
Tuhaf,https://www.roskilde-festival.dk/da/years/2023/acts/tuhaf/,,🌍 Gaia,20:00 Søndag 25. juni 2023,https://www.instagram.com/tuhafcph/,https://open.spotify.com/artist/2kuLzZQ9YqwrjVCxjV1ZuB?si=ZzIlL0A0SGCG19N1ewNf5w,En farverig og psykedelisk eksplosion af tyrkisk rock og dansk protestfolk , , , , ,20:00,25jun 2023,2023-06-25 20:00:00+02:00
Turning Tables Danmark,https://www.roskilde-festival.dk/da/years/2023/acts/turning-tables-danmark/,DK,📣 Flokkr,10:00 Søndag 25. juni 2023,https://www.instagram.com/turningtablesdanmark/,,"Turning Tables Danmark sparker døren ind til livsverdener, du måske ikke kender til, gennem koncerter, fotoudstillinger og en performance, der pisser dig af", , , , ,10:00,25jun 2023,2023-06-25 10:00:00+02:00
Txc,https://www.roskilde-festival.dk/da/years/2023/acts/txc/,ZA,🚀 Apollo,20:00 Lørdag 1. juli 2023,https://www.instagram.com/____.txc.____/,https://open.spotify.com/artist/25j9xL1MTyuycuB2xy2Q9g?si=rF7VB3H9RbuL27syP4Rf3w,Charmerende duo bringer den sydafrikanske amapiano til Roskilde , , , , ,20:00,1jul 2023,2023-07-01 20:00:00+02:00
Uncle Waffles,https://www.roskilde-festival.dk/da/years/2023/acts/uncle-waffles/,,🚀 Apollo,21:30 Lørdag 1. juli 2023,https://www.instagram.com/unclewaffles_/,https://open.spotify.com/artist/68McnNC9twEtiynOAJRRgZ?si=e5nwLixbSMqm6P_81UC-Wg,Rising star fra den house-inspirerede sydafrikanske amapiano-scene indtager Roskilde , , , , ,21:30,1jul 2023,2023-07-01 21:30:00+02:00
Undergrunn,https://www.roskilde-festival.dk/da/years/2023/acts/undergrunn/,NO,👩 Eos,20:45 Tirsdag 27. juni 2023,https://www.instagram.com/undergrunnklikk/,https://open.spotify.com/artist/1LyYIhqdjG9R9VdIRSftBb?si=Eqt97yVeSrCflUWgXzAFTQ,Ung hverdag sat til skarpe beats fra norske hiphop-stjerner , , , , ,20:45,27jun 2023,2023-06-27 20:45:00+02:00
Uniform,https://www.roskilde-festival.dk/da/years/2023/acts/uniform/,US,🏝️ Gloria,01:45 Torsdag 29. juni 2023,https://www.instagram.com/uniform_nyc/?hl=en,https://open.spotify.com/artist/3TaLdYu9rA6H364ROYMmvF?si=YGV_A5xpTxmFFTZ8zx8J6w,Knusende industrial og musikalsk delirium fra brutal New York-trio ,💀Nej,💀Nej,øv, ,01:45,29jun 2023,2023-06-30 01:45:00+02:00
Ussel,https://www.roskilde-festival.dk/da/years/2023/acts/ussel/,,👩 Eos,22:15 Mandag 26. juni 2023,https://www.instagram.com/usleemil/,https://open.spotify.com/artist/13wADF4gMaMun7o6VzOzZp,USSEL danser med sine dæmoner i en blanding af fængende pop og punket emo-rap , , , , ,22:15,26jun 2023,2023-06-26 22:15:00+02:00
Ustad Noor Bakhsh,https://www.roskilde-festival.dk/da/years/2023/acts/ustad-noor-bakhsh/,PK,🏝️ Avalon,13:00 Lørdag 1. juli 2023,https://www.instagram.com/noorbenju/,https://open.spotify.com/artist/7LteUVt5zjstP7yHLFcYi8?si=LNuBNpWFT8iQStRK6C7Tqg,Poetiske naturmeditationer og tryllebindende toner fra pakistansk benju-mester, , , , ,13:00,1jul 2023,2023-07-01 13:00:00+02:00
Verdensmål I Hænderne,https://www.roskilde-festival.dk/da/years/2023/acts/verdensm%C3%A5l-i-h%C3%A6nderne/,DK,📣 Flokkr,10:00 Søndag 25. juni 2023,https://www.instagram.com/roskildefestival/,,Vær med til at sætte FN's Verdensmål og det globale syd på dagsordenen, , , , ,10:00,25jun 2023,2023-06-25 10:00:00+02:00
Villano Antillano,https://www.roskilde-festival.dk/da/years/2023/acts/villano-antillano/,PR,👩 Eos,19:00 Onsdag 28. juni 2023,https://www.instagram.com/villanoantillano/,https://open.spotify.com/artist/1pi7nGhOM7PTHR5YEgXVGq?autoplay=true,Den transkønnede rapper skaber revolution på den latinamerikanske musikscene,👍Ja,👍Ja,feeeeeessssttt!! hiphop trap ish reggaeton, ,19:00,28jun 2023,2023-06-28 19:00:00+02:00
Wargasm,https://www.roskilde-festival.dk/da/years/2023/acts/wargasm/,UK,🏝️ Avalon,00:30 Lørdag 1. juli 2023,https://www.instagram.com/thisiswargasmuk/,https://open.spotify.com/artist/1NRudBLaT84LXxfsYdFMhB?si=DSlo0XsZSbeDlEgZkSeeig,Kaosdyrkende duo byder på eksplicit totalshow af electro-metal og vokale slagsmål , , , , ,00:30,1jul 2023,2023-07-02 00:30:00+02:00
Weyes Blood,https://www.roskilde-festival.dk/da/years/2023/acts/weyes-blood/,US,🏝️ Avalon,16:00 Lørdag 1. juli 2023,https://www.instagram.com/weyesblood/,https://open.spotify.com/artist/3Uqu1mEdkUJxPe7s31n1M9,Det amerikanske vidunder vender tilbage til Roskilde med nyt sfærisk popmesterværk,😌Tømmermændsmusik, ,slightly eery pop , ,16:00,1jul 2023,2023-07-01 16:00:00+02:00
Whitney,https://www.roskilde-festival.dk/da/years/2023/acts/whitney/,US,🏝️ Avalon,18:15 Lørdag 1. juli 2023,https://www.instagram.com/whitneyband/,https://open.spotify.com/artist/32aUoW94mJ7xTJI7fG0V1G?si=laOXPAQnSPqFxTaiCgBw9g,Organisk indie-soul og varme vokalharmonier til sommeraftenen, , , , ,18:15,1jul 2023,2023-07-01 18:15:00+02:00
Witch Club Satan,https://www.roskilde-festival.dk/da/years/2023/acts/witch-club-satan/,NO,🏝️ Gloria,00:00 Lørdag 1. juli 2023,https://www.instagram.com/witchclubsatan,https://open.spotify.com/artist/395rqoVSDgQIF7fzRfZIoy?si=DnP4wVZfTCK7EGA4KSkGWQ&nd=1,Hekseklubben sætter ild til patriarkatet med norsk black metal.,💀Nej, , , ,00:00,1jul 2023,2023-07-02 00:00:00+02:00
Wu-Lu,https://www.roskilde-festival.dk/da/years/2023/acts/wu-lu/,UK,🌍 Gaia,23:30 Fredag 30. juni 2023,https://www.instagram.com/wulumusic/,https://open.spotify.com/artist/5yRolHpTcDas7KX7KiH6Wd?si=MXE9DC2EReibGukzDJbL1A,London-rapperen leverer brændstof til revolutionen med punket attitude,💀Nej, ,skrige-metal, ,23:30,30jun 2023,2023-06-30 23:30:00+02:00
Yaya Bey,https://www.roskilde-festival.dk/da/years/2023/acts/yaya-bey/,US,👩 Eos,19:00 Fredag 30. juni 2023,https://www.instagram.com/yayabeybay,https://open.spotify.com/artist/6tpaMMCs8X6o8j9H5OmWmT?si=IUmb46FEQGuTUlDKSRiI-A,Stærk soulstemme skaber et personligt og helende rum,😌Tømmermændsmusik, ,"R&B, jazz, reggae og afrobeat. ", ,19:00,30jun 2023,2023-06-30 19:00:00+02:00
