Debbie Sings,https://www.roskilde-festival.dk/da/years/2023/acts/debbie-sings/,DK,Apollo,22:00 Onsdag 28. juni 2023,https://www.instagram.com/xxdebbie_singsxx/,https://open.spotify.com/artist/5xrpKIIiDNRsPVOi0nYlkW?si=nA21diZPQMOVmq1yn1sZqg,En maksimalistisk eksplosion af hyperpop og punket attitude.
Ivorian Doll,https://www.roskilde-festival.dk/da/years/2023/acts/ivorian-doll/,UK,Apollo,20:00 Onsdag 28. juni 2023,https://www.instagram.com/ivoriandoll/,https://open.spotify.com/artist/5zWJtrglcTFohMajO2qrgd?si=V1EfUlkvSBWml190u-Goow,Selvudnævnt Queen of Drill indtager Roskilde 
Jake Blount,https://www.roskilde-festival.dk/da/years/2023/acts/jake-blount/,US,Gloria,17:30 Onsdag 28. juni 2023,https://www.instagram.com/jake.m.blount/,https://open.spotify.com/artist/63yfJDmaBbifNzvWUUdpv1?si=WGY-g-RkTV-lvLY53zHBaA,Afrofuturistisk og queer blik på amerikansk folkemusiktradition 
Kuunatic,https://www.roskilde-festival.dk/da/years/2023/acts/kuunatic/,JP,Platform,21:15 Onsdag 28. juni 2023,https://www.instagram.com/kuunatic/,https://open.spotify.com/artist/5uZn75Nrcnvzl4tkgPQlEB?si=_SsxjVb-SWS-rad4ESHSyA,Et kosmisk ægteskab mellem japansk psychedelia og tribale rytmer fra en fremmed planet
Minyo Crusaders,https://www.roskilde-festival.dk/da/years/2023/acts/minyo-crusaders/,JP,Avalon,19:30 Onsdag 28. juni 2023,https://www.instagram.com/minyocrusaders/,https://open.spotify.com/artist/1zpJ58qKOgKcWge9iaFxHG?si=WRWt5RdtSl-kfPedDCRaig,Gamle japanske arbejdersange i spraglede musikalske klæder 
Phloem,https://www.roskilde-festival.dk/da/years/2023/acts/phloem/,,Apollo,19:00 Onsdag 28. juni 2023,https://www.instagram.com/__phloem__/,https://open.spotify.com/playlist/5W0vbpdNlcuIw2N1S5Cr8C,Fra mellow sommerstemning til hård dansefest med DJ-sæt fra Phloem 
Piri,https://www.roskilde-festival.dk/da/years/2023/acts/piri/,UK,Apollo,00:00 Onsdag 28. juni 2023,https://www.instagram.com/piri.io_/,https://open.spotify.com/artist/4DpmPt7gfAAq7WEx0E1X8s?si=Ge8sDRFwT9qf-J6c9Cw5dg,Engelsk sanger bringer drum’n’bass-musikken ind i fremtiden 
Scowl,https://www.roskilde-festival.dk/da/years/2023/acts/scowl/,US,Gaia,17:30 Onsdag 28. juni 2023,https://www.instagram.com/scowl40831/,https://open.spotify.com/artist/6hW33nVHPElaXuG2hQ0QOp?si=zQqApDN7TLm1Znpkox0n_Q,"Eksplosiv californisk hardcore med plads til støj, skrig og stærke melodier"
Sisso & Maiko + Rehema & Asher Tajiri,https://www.roskilde-festival.dk/da/years/2023/acts/sisso-maiko-plus-rehema-asher-tajiri/,TZ,Gloria,23:30 Onsdag 28. juni 2023,https://www.instagram.com/rehematajiriofficial/,https://open.spotify.com/album/5Hzxd5QnTg3dSovyTXv6F5?si=ndrwJrAWQUGNBmXMRgsq0g,"Dar Es Salaams punkede og hurtige elektroniske dansemusik, singeli, sætter gang i kroppen "
Son Rompe Pera,https://www.roskilde-festival.dk/da/years/2023/acts/son-rompe-pera/,MX,Gaia,00:30 Onsdag 28. juni 2023,https://www.instagram.com/sonrompepera/,https://open.spotify.com/artist/0UKHKimjIGeFoS29LxWf4V?si=8cVHUSyWQnyYL2Nc0pRrnQ,Mexicansk kvintet sætter gang i moshpit med cumbia og marimba-punk 
